ESTU_CONSECUTIVO_S11,ESTU_GENERO_S11,edad_estudianteS11_S11,edadSaberPro_SPRO,COLE_DEPTO_UBICACION_S11,ESTU_DEPTO_RESIDE_SPRO,PERIODO_S11,PERIODO_SPRO,PUNT_MATEMATICAS_S11,PUNT_INGLES_S11,PUNT_C_NATURALES_S11,PUNT_LECTURA_CRITICA_S11,PUNT_SOCIALES_CIUDADANAS_S11,PUNT_GLOBAL_S11,MOD_RAZONA_CUANTITAT_PUNT_SPRO,MOD_LECTURA_CRITICA_PUNT_SPRO,MOD_COMPETEN_CIUDADA_PUNT_SPRO,MOD_INGLES_PUNT_SPRO,MOD_COMUNI_ESCRITA_PUNT_SPRO,PUNT_GLOBAL_SPRO,cambio_depto
SB11201620035953,M,15.600547195622434,20.596443228454174,CUNDINAMARCA,CUNDINAMARCA,20162,2021,62,62,67,58,57,305.3846153846154,193,176,139,222,154,176.8,TRUE
SB11201220409335,F,19.31326949384405,28.292749658002737,CALDAS,CALDAS,20122,2021,43,42,40,42,44,211.15384615384616,91,110,113,133,127,114.8,TRUE
SB11201510033973,M,17.61422708618331,23.611491108071135,ANTIOQUIA,ANTIOQUIA,20151,2021,64,74,57,56,59,300.7692307692308,119,120,91,174,94,119.6,TRUE
SB11201120146599,M,16.891928864569085,26.886456908344734,ANTIOQUIA,ANTIOQUIA,20112,2021,41,66,42,41,40,214.61538461538458,107,85,97,0,166,91,TRUE
SB11201810004048,F,17.857729138166896,20.856361149110807,VALLE,VALLE,20181,2021,79,90,71,77,64,370.3846153846154,201,180,155,219,160,183,TRUE
SB11201620505832,F,16.210670314637483,21.20656634746922,VALLE,VALLE,20162,2021,72,100,73,72,67,366.15384615384613,300,202,203,203,127,207,TRUE
SB11201120539568,F,17.471956224350205,27.466484268125853,VALLE,VALLE,20112,2021,42,56,43.333333333333336,54,57,248.07692307692307,100,179,163,138,129,141.8,TRUE
SB11201520526394,F,16.120383036935703,22.11764705882353,NORTE SANTANDER,NORTE SANTANDER,20152,2021,57,62,68,71,62,321.53846153846155,167,226,209,199,123,184.8,TRUE
SB11201320242818,M,16.590971272229822,24.58549931600547,BOGOTA,BOGOTÁ,20132,2021,54,66,57.333333333333336,62,65,300.3846153846154,213,198,178,208,154,190.2,FALSE
SB11201620050426,M,16.902872777017784,21.89876880984952,CUNDINAMARCA,CUNDINAMARCA,20162,2021,61,60,58,55,63,296.53846153846155,170,128,171,167,125,152.2,TRUE
SB11201420143167,F,16.544459644322846,23.540355677154583,RISARALDA,ANTIOQUIA,20142,2021,58,50,57,63,56,289.2307692307692,129,141,124,157,173,144.8,FALSE
SB11201610022720,M,18.24623803009576,23.242134062927498,BOGOTA,BOGOTÁ,20161,2021,100,95,88,72,90,440.3846153846154,227,192,202,300,103,204.8,FALSE
SB11201010048297,F,16.6265389876881,27.61969904240766,VALLE,VALLE,20101,2021,43.99,55.95,49.27,54.57,51.52,251.53846153846155,173,161,139,0,181,130.8,TRUE
SB11201520002574,M,16.834473324213405,22.83173734610123,BOGOTA,BOGOTÁ,20152,2021,78,94,68,77,70,374.23076923076917,218,183,188,218,144,190.2,FALSE
SB11201420031681,M,16.410396716826266,21.409028727770178,SANTANDER,SANTANDER,20142,2021,67,45,58,47,57,281.53846153846155,124,149,143,139,74,125.8,TRUE
SB11201710038356,M,18.22435020519836,22.22161422708618,BOGOTA,BOGOTÁ,20171,2021,77,78,73,69,71,364.6153846153846,192,214,190,300,128,204.8,FALSE
SB11201320275081,F,15.849521203830369,23.84404924760602,BOGOTA,EXTRANJERO,20132,2021,41,66,57.333333333333336,62,59,278.46153846153845,156,162,121,182,187,161.6,FALSE
SB11201720002505,M,15.890560875512996,19.887824897400822,HUILA,HUILA,20172,2021,75,77,74,75,72,371.15384615384613,209,192,182,212,169,192.8,TRUE
SB11201620425284,M,16.599179206566347,21.595075239398085,CUNDINAMARCA,EXTRANJERO,20162,2021,68,68,63,63,58,316.9230769230769,167,150,180,198,300,199,FALSE
SB11201710023464,F,16.506155950752394,20.50341997264022,VALLE,VALLE,20171,2021,67,51,63,69,63,321.9230769230769,172,180,169,195,127,168.6,TRUE
SB11201620094383,F,16.0218878248974,21.01778385772914,BOGOTA,BOGOTÁ,20162,2021,83,80,81,82,78,404.6153846153846,231,205,192,217,196,208.2,FALSE
SB11201610017578,F,17.086183310533517,22.082079343365255,VALLE,VALLE,20161,2021,79,95,65,64,56,341.15384615384613,143,207,173,203,197,184.6,TRUE
SB11201620256786,F,16.755129958960328,21.751025991792066,BOGOTA,BOGOTÁ,20162,2021,75,100,79,67,70,374.23076923076917,223,194,194,205,184,200,FALSE
SB11201620138073,F,16.109439124487004,21.10533515731874,BOGOTA,BOGOTÁ,20162,2021,73,69,68,71,76,358.84615384615387,141,131,123,181,202,155.6,FALSE
SB11201710029540,F,16.730506155950753,20.72777017783858,VALLE,VALLE,20171,2021,58,95,48,55,57,288.0769230769231,151,159,169,202,177,171.6,TRUE
SB11201720110311,F,17.10533515731874,21.102599179206567,BOGOTA,BOGOTÁ,20172,2021,78,83,73,72,73,373.46153846153845,173,171,166,198,167,175,FALSE
SB11201620151572,F,16.183310533515733,21.17920656634747,BOLIVAR,BOLIVAR,20162,2021,73,75,67,70,66,347.3076923076923,194,161,164,199,151,173.8,TRUE
SB11201520373597,M,16.41860465116279,22.415868673050614,SANTANDER,SANTANDER,20152,2021,84,82,73,74,72,381.15384615384613,118,99,95,184,124,124,TRUE
SB11201520018948,M,17.28043775649795,23.277701778385772,ANTIOQUIA,ANTIOQUIA,20152,2021,72,74,64,58,59,320.3846153846154,155,143,114,195,129,147.2,TRUE
SB11201320509009,M,18.741450068399452,26.735978112175104,BOGOTA,BOGOTÁ,20132,2021,57,94,56.333333333333336,56,66,307.6923076923077,180,203,201,200,119,180.6,FALSE
SB11201420029077,M,16.42407660738714,23.419972640218877,TOLIMA,BOGOTÁ,20142,2021,67,100,75,72,71,367.3076923076923,153,157,151,225,157,168.6,FALSE
SB11201520105164,M,15.961696306429548,21.958960328317374,CUNDINAMARCA,CUNDINAMARCA,20152,2021,81,79,96,61,78,395,227,189,214,217,147,198.8,TRUE
SB11201710084369,F,16.40766073871409,20.404924760601915,ATLANTICO,ATLANTICO,20171,2021,69,82,61,67,58,325.76923076923083,170,168,167,217,163,177,TRUE
SB11201120087835,M,15.658002735978112,25.65253077975376,MAGDALENA,ANTIOQUIA,20112,2021,63,77,61,77,64,335.3846153846154,231,202,202,222,161,203.6,FALSE
SB11201620075989,F,17.450068399452803,22.44596443228454,ANTIOQUIA,ANTIOQUIA,20162,2021,83,83,79,69,77,387.3076923076923,213,205,173,206,169,193.2,TRUE
SB11201410000151,M,18.935704514363884,25.93160054719562,ATLANTICO,ATLANTICO,20141,2021,69,94,65,62,60,331.53846153846155,122,117,151,216,170,155.2,TRUE
SB11201620154732,F,16.12311901504788,21.119015047879618,LA GUAJIRA,LA GUAJIRA,20162,2021,73,75,68,73,68,354.23076923076917,177,184,184,213,97,171,TRUE
SB11201220563175,F,15.928864569083448,24.922024623803008,BOGOTA,BOGOTÁ,20122,2021,55,46,48.666666666666664,44,42,236.53846153846155,151,144,96,203,163,151.4,FALSE
SB11201620181038,F,17.926128590971274,22.922024623803008,ANTIOQUIA,ANTIOQUIA,20162,2021,79,84,81,78,75,393.46153846153845,209,215,199,199,126,189.6,TRUE
SB11201420020483,F,16.22435020519836,23.220246238030096,BOGOTA,EXTRANJERO,20142,2021,61,54,71,69,60,321.9230769230769,176,184,182,180,101,164.6,FALSE
SB11201520168389,M,15.808481532147743,21.745554035567714,BOGOTA,BOGOTÁ,20152,2021,84,63,73,67,76,370.3846153846154,214,155,191,192,137,177.8,FALSE
SB11201420058604,M,17.19015047879617,24.186046511627907,BOGOTA,BOGOTÁ,20142,2021,83,93,66,63,62,351.9230769230769,115,76,93,135,122,108.2,FALSE
SB11201620283676,F,17.110807113543093,22.10670314637483,ATLANTICO,ATLANTICO,20162,2021,85,85,80,73,78,397.3076923076923,203,209,194,222,300,225.6,TRUE
SB11201410010859,F,17.80848153214774,24.80437756497948,CUNDINAMARCA,CUNDINAMARCA,20141,2021,53,68,56.333333333333336,51,56,275.7692307692308,90,145,149,207,166,151.4,TRUE
SB11201320151107,M,16.971272229822162,24.96580027359781,BOGOTA,BOGOTÁ,20132,2021,68,80,58,62,72,330.76923076923083,196,225,191,202,165,195.8,FALSE
SB11201620580353,F,16.309165526675788,21.305061559507525,VALLE,VALLE,20162,2021,65,74,62,66,58,318.0769230769231,163,161,160,196,175,171,TRUE
SB11201620011130,F,15.997264021887824,20.993160054719564,ATLANTICO,ATLANTICO,20162,2021,76,82,71,69,72,363.84615384615387,184,181,194,211,300,214,TRUE
SB11201320475456,F,16.78248974008208,24.77701778385773,SANTANDER,SANTANDER,20132,2021,65,60,55.333333333333336,52,37,264.6153846153846,151,187,166,211,182,179.4,TRUE
SB11201020120571,F,15.958960328317373,26.952120383036934,ANTIOQUIA,ANTIOQUIA,20102,2021,50.82,59.21,52.95666666666667,56.55,53.02,268.9423076923077,126,132,141,171,112,136.4,TRUE
SB11201610029070,F,18.55266757865937,23.548563611491108,BOGOTA,CUNDINAMARCA,20161,2021,74,79,59,49,67,317.6923076923077,166,133,144,194,122,151.8,FALSE
SB11201520201839,F,16.120383036935703,22.11764705882353,CESAR,BOGOTÁ,20152,2021,74,91,70,76,76,376.53846153846155,130,211,217,222,94,174.8,FALSE
SB11201620106971,F,16.199726402188784,21.19562243502052,CAQUETA,BOGOTÁ,20162,2021,61,65,60,56,66,305.3846153846154,109,108,138,148,86,117.8,FALSE
SB11201620027395,M,16.853625170998633,21.84952120383037,ANTIOQUIA,ANTIOQUIA,20162,2021,86,78,76,74,76,390,216,173,172,219,172,190.4,TRUE
SB11201620521995,F,18.700410396716826,23.696306429548564,ANTIOQUIA,ANTIOQUIA,20162,2021,62,67,61,67,56,309.6153846153846,130,122,121,191,152,143.2,TRUE
SB11201620028514,F,17.042407660738714,22.03830369357045,BOGOTA,BOGOTÁ,20162,2021,63,74,57,59,70,315.7692307692308,173,168,165,181,300,197.4,FALSE
SB11201120025199,F,16.629274965800274,26.623803009575923,SANTANDER,SANTANDER,20112,2021,68,52,49,62,42,275,155,118,144,201,151,153.8,TRUE
SB11201710003617,M,17.975376196990425,21.972640218878247,CUNDINAMARCA,CUNDINAMARCA,20171,2021,54,77,63,60,61,304.2307692307692,147,179,168,204,149,169.4,TRUE
SB11201620553714,F,16.451436388508892,21.44733242134063,CALDAS,CALDAS,20162,2021,62,67,62,52,58,295.7692307692308,87,144,122,203,149,141,TRUE
SB11201610047524,M,17.097127222982216,22.093023255813954,VALLE,VALLE,20161,2021,89,92,77,72,82,404.6153846153846,204,215,196,219,126,192,TRUE
SB11201620121711,F,16.58549931600547,21.58139534883721,ANTIOQUIA,ANTIOQUIA,20162,2021,64,100,63,63,63,330.3846153846154,144,137,149,197,112,147.8,TRUE
SB11201120549777,F,16.25718194254446,26.251709986320108,ANTIOQUIA,ANTIOQUIA,20112,2021,45,36,48,46,39,219.23076923076923,159,144,105,201,162,154.2,TRUE
SB11201520287889,F,16.6922024623803,22.689466484268127,CUNDINAMARCA,BOGOTÁ,20152,2021,76,71,86,60,76,371.15384615384613,169,194,180,183,99,165,FALSE
SB11201220188832,F,15.961696306429548,24.954856361149112,NORTE SANTANDER,NORTE SANTANDER,20122,2021,61,52,49,57,42,261.1538461538462,163,113,105,199,184,152.8,TRUE
SB11201720307377,M,16.18878248974008,20.186046511627907,ANTIOQUIA,ANTIOQUIA,20172,2021,77,69,79,72,76,377.3076923076923,223,213,205,214,130,197,TRUE
SB11201710063971,F,18.073871409028726,22.071135430916552,ATLANTICO,ATLANTICO,20171,2021,65,86,68,67,73,348.0769230769231,162,191,176,300,155,196.8,TRUE
SB11201320110831,F,16.98495212038304,24.979480164158687,BOLIVAR,BOLIVAR,20132,2021,44,42,41,54,49,233.07692307692307,106,148,138,154,171,143.4,TRUE
SB11201520344366,M,15.978112175102599,21.975376196990425,CUNDINAMARCA,BOGOTÁ,20152,2021,70,88,70,69,81,368.46153846153845,175,165,203,202,133,175.6,FALSE
SB11201520010285,F,16.437756497948016,22.43502051983584,BOGOTA,BOGOTÁ,20152,2021,64,82,70,76,70,354.6153846153846,195,203,194,217,128,187.4,FALSE
SB11201420198947,F,18.484268125854992,25.48016415868673,VALLE,VALLE,20142,2021,57,84,64,62,59,311.53846153846155,138,124,114,202,141,143.8,TRUE
SB11201120042285,M,20.043775649794803,30.03830369357045,TOLIMA,TOLIMA,20112,2021,63,52,53,50,46,264.6153846153846,79,109,92,118,115,102.6,TRUE
SB11201120097426,M,16.300957592339262,26.29548563611491,META,BOGOTÁ,20112,2021,49,45,52.666666666666664,54,50,254.61538461538458,149,107,75,185,161,135.4,FALSE
SB11201620108146,F,16.27906976744186,21.2749658002736,BOGOTA,BOGOTÁ,20162,2021,76,80,67,76,66,359.6153846153846,112,129,126,168,146,136.2,FALSE
SB11201510001709,M,18.04924760601915,24.046511627906977,BOGOTA,BOGOTÁ,20151,2021,70,80,73,58,75,349.23076923076917,165,134,164,207,94,152.8,FALSE
SB11200920440632,M,16.17510259917921,28.16689466484268,CUNDINAMARCA,BOGOTÁ,20092,2021,34.91,42.76,43.79,48.37,32.32,200.35769230769233,108,158,82,129,125,120.4,FALSE
SB11200920248565,F,17.734610123119015,29.72640218878249,BOGOTÁ,BOGOTÁ,20092,2021,34.91,42.76,43.18333333333334,46.23,41.79,208.11538461538458,114,105,133,160,155,133.4,TRUE
SB11200920226558,F,16.10670314637483,28.098495212038305,ATLANTICO,ATLANTICO,20092,2021,51.49,39.05,45.23333333333333,36.27,37.41,211.63846153846154,127,105,91,190,172,137,TRUE
SB11201320326391,M,16.42954856361149,24.42407660738714,BOGOTA,CUNDINAMARCA,20132,2021,46,43,48.333333333333336,38,41,216.53846153846155,145,113,130,160,174,144.4,FALSE
SB11201710034608,M,18.571819425444595,22.56908344733242,ATLANTICO,ATLANTICO,20171,2021,80,87,83,70,100,417.6923076923077,220,193,191,210,135,189.8,TRUE
SB11201520189910,M,16.96580027359781,22.963064295485637,BOGOTA,BOGOTÁ,20152,2021,90,77,87,66,78,400,208,198,200,204,169,195.8,FALSE
SB11201610022584,F,17.841313269493845,22.837209302325583,BOGOTA,BOGOTÁ,20161,2021,91,95,79,64,85,404.6153846153846,115,122,121,208,134,140,FALSE
SB11201520416955,F,16.590971272229822,22.58823529411765,BOGOTA,CALDAS,20152,2021,55,46,52,54,51,262.3076923076923,134,109,72,156,86,111.4,FALSE
SB11201710048495,F,16.517099863201093,20.51436388508892,VALLE,VALLE,20171,2021,71,78,66,62,58,326.53846153846155,180,187,185,300,174,205.2,TRUE
SB11201520254816,F,16.432284541723668,22.42954856361149,BOGOTA,EXTRANJERO,20152,2021,100,70,83,65,70,393.84615384615387,219,181,174,202,205,196.2,FALSE
SB11201510037361,F,17.841313269493845,23.838577291381668,BOLIVAR,BOLIVAR,20151,2021,47,90,62,53,66,297.6923076923077,169,187,163,205,119,168.6,TRUE
SB11201620206940,M,17.660738714090286,22.656634746922023,CUNDINAMARCA,BOLIVAR,20162,2021,78,83,73,74,69,371.15384615384613,190,206,172,216,160,188.8,FALSE
SB11201020566029,M,16.37482900136799,27.365253077975375,CUNDINAMARCA,EXTRANJERO,20102,2021,58.05,56.09,57.27,59.27,48.89,279.43461538461537,198,143,100,190,73,140.8,FALSE
SB11201620047250,M,16.645690834473324,21.64158686730506,TOLIMA,BOGOTÁ,20162,2021,71,76,70,66,73,352.3076923076923,217,142,141,195,165,172,FALSE
SB11201610029576,F,16.158686730506155,21.154582763337892,VALLE,VALLE,20161,2021,74,76,78,71,74,371.9230769230769,202,219,218,211,187,207.4,TRUE
SB11201620007504,F,16.17510259917921,21.170998632010942,SANTANDER,SANTANDER,20162,2021,66,100,78,73,77,377.6923076923077,184,206,186,213,129,183.6,TRUE
SB11201520522046,F,16.848153214774282,22.845417236662108,BOGOTA,VALLE,20152,2021,46,49,57,50,65,270.3846153846154,147,116,115,149,73,120,FALSE
SB11201320567155,F,16.56908344733242,24.56361149110807,CUNDINAMARCA,BOGOTÁ,20132,2021,54,60,55,62,57,286.1538461538462,129,178,187,211,154,171.8,FALSE
SB11201620081009,F,16.355677154582764,21.351573187414502,BOYACA,BOYACA,20162,2021,82,100,72,75,79,393.84615384615387,180,190,198,300,122,198,TRUE
SB11201610002044,M,16.774281805745552,21.77017783857729,VALLE,VALLE,20161,2021,68,64,67,56,59,313.0769230769231,137,160,115,189,163,152.8,TRUE
SB11201320067156,M,16.194254445964432,24.18878248974008,SANTANDER,SANTANDER,20132,2021,47,48,57.666666666666664,58,56,270.7692307692308,181,135,145,221,163,169,TRUE
SB11201220350340,F,16.32831737346101,25.321477428180575,BOGOTA,EXTRANJERO,20122,2021,59,50,42.333333333333336,53,36,238.84615384615384,114,116,108,176,133,129.4,FALSE
SB11201620434723,M,16.593707250341996,21.589603283173734,CUNDINAMARCA,BOGOTÁ,20162,2021,70,71,71,66,70,346.9230769230769,205,189,175,175,123,173.4,FALSE
SB11201220319700,F,16.216142270861834,25.209302325581394,BOGOTA,EXTRANJERO,20122,2021,52,59,53.666666666666664,52,48,260,160,167,179,178,119,160.6,FALSE
SB11201610021263,M,17.690834473324212,22.68673050615595,BOGOTA,BOGOTÁ,20161,2021,100,95,80,74,90,433.46153846153845,196,128,98,203,94,143.8,FALSE
SB11201520461947,F,17.600547195622436,23.59781121751026,CUNDINAMARCA,BOGOTÁ,20152,2021,52,60,52,54,53,266.53846153846155,155,112,99,196,156,143.6,FALSE
SB11201720039853,M,16.919288645690834,20.91655266757866,BOGOTA,BOGOTÁ,20172,2021,73,78,71,63,69,348.46153846153845,176,154,186,190,129,167,FALSE
SB11201220433121,F,16.035567715458278,25.028727770177838,CAUCA,CAUCA,20122,2021,49,52,40.666666666666664,48,46,231.92307692307693,104,100,90,162,159,123,TRUE
SB11201520572765,NA,16.801641586867305,22.79890560875513,BOLIVAR,BOLIVAR,20152,2021,60,35,51,53,55,266.1538461538462,126,142,133,123,93,123.4,TRUE
SB11201520149831,M,16.284541723666212,22.281805745554035,BOGOTA,CUNDINAMARCA,20152,2021,82,67,84,80,78,399.6153846153846,209,193,210,192,164,193.6,FALSE
SB11201520072678,F,16.473324213406293,22.470588235294116,BOGOTA,BOGOTÁ,20152,2021,54,62,59,54,62,288.0769230769231,173,134,85,100,115,121.4,FALSE
SB11201420049406,F,16.24623803009576,23.242134062927498,ANTIOQUIA,ANTIOQUIA,20142,2021,75,81,70,69,69,357.6923076923077,161,185,185,216,179,185.2,TRUE
SB11201620042012,M,16.924760601915185,21.920656634746923,ANTIOQUIA,ANTIOQUIA,20162,2021,82,79,74,76,76,385.76923076923083,207,162,206,205,84,172.8,TRUE
SB11200920191770,F,16.276333789329687,28.26812585499316,QUINDIO,QUINDIO,20092,2021,43.8,43.48,46.47333333333333,56.7,51.46,245.68461538461537,128,107,139,120,179,134.6,TRUE
SB11201610022348,F,18.030095759233927,23.025991792065664,BOGOTA,BOGOTÁ,20161,2021,76,85,82,68,82,388.0769230769231,191,186,183,205,152,183.4,FALSE
SB11201720349568,F,17.047879616963066,21.045143638850888,BOGOTA,BOGOTÁ,20172,2021,56,71,59,57,58,292.6923076923077,131,129,101,180,149,138,FALSE
SB11201810014807,F,17.004103967168263,20.002735978112174,BOLIVAR,BOLIVAR,20181,2021,81,100,78,73,77,395,205,188,204,208,120,185,TRUE
SB11201710029948,F,16.94391244870041,20.941176470588236,VALLE,VALLE,20171,2021,65,68,61,60,64,314.6153846153846,149,176,178,189,154,169.2,TRUE
SB11201020152558,F,16.71956224350205,27.712722298221614,ANTIOQUIA,ANTIOQUIA,20102,2021,42.46,48.86,51.03666666666666,47.24,48.89,237.59230769230768,164,134,143,164,174,155.8,TRUE
SB11201520020361,M,18.270861833105336,24.26812585499316,ANTIOQUIA,ANTIOQUIA,20152,2021,90,82,67,73,74,382.3076923076923,171,120,117,212,150,154,TRUE
SB11201620096421,F,16.673050615595074,21.66894664842681,BOLIVAR,BOLIVAR,20162,2021,64,51,65,67,66,321.9230769230769,110,141,168,167,108,138.8,TRUE
SB11201020315448,M,17.923392612859097,28.91655266757866,BOGOTÁ,EXTRANJERO,20102,2021,53.16,65.57,50.32333333333333,59.27,51.26,272.1576923076923,120,130,112,207,156,145,FALSE
SB11201420530113,F,15.745554035567716,22.741450068399452,META,META,20142,2021,53,53,62,57,50,276.53846153846155,136,116,126,162,188,145.6,TRUE
SB11201020332671,M,16.544459644322846,27.53761969904241,BOGOTÁ,BOLIVAR,20102,2021,75.41,73.24,69.67,65.03,45.79,323.4384615384615,141,108,156,218,164,157.4,FALSE
SB11201520025362,F,16.796169630642954,22.79343365253078,ANTIOQUIA,ANTIOQUIA,20152,2021,39,46,42,47,54,227.6923076923077,96,124,150,140,162,134.4,TRUE
SB11201720422208,M,16.897400820793433,20.89466484268126,BOGOTA,BOGOTÁ,20172,2021,78,69,72,61,70,350.76923076923083,189,179,172,196,161,179.4,FALSE
SB11201620158839,F,16.93296853625171,21.928864569083448,ATLANTICO,ATLANTICO,20162,2021,78,83,100,73,75,408.0769230769231,218,181,192,300,126,203.4,TRUE
SB11201510029750,M,17.14090287277702,23.138166894664842,ATLANTICO,ATLANTICO,20151,2021,70,80,67,66,70,345.76923076923083,161,176,185,203,193,183.6,TRUE
SB11201320208270,M,17.441860465116278,25.43638850889193,BOGOTA,EXTRANJERO,20132,2021,65,83,61.666666666666664,65,63,325.76923076923083,212,200,132,214,166,184.8,FALSE
SB11201410012938,M,19.611491108071135,26.607387140902873,BOGOTA,BOGOTÁ,20141,2021,78,100,65,60,58,339.6153846153846,209,151,151,208,189,181.6,FALSE
SB11201710005872,F,18.20519835841313,22.202462380300958,MAGDALENA,MAGDALENA,20171,2021,69,82,74,56,69,340.76923076923083,115,103,83,188,155,128.8,TRUE
SB11201610078280,F,18.254445964432286,23.250341997264023,BOGOTA,ANTIOQUIA,20161,2021,88,97,63,59,56,344.23076923076917,113,0,0,0,156,53.8,FALSE
SB11201720166862,M,16.492476060191517,20.489740082079344,SANTANDER,SANTANDER,20172,2021,82,81,74,72,75,380.76923076923083,181,167,181,214,91,166.8,TRUE
SB11201620131257,F,16.432284541723668,21.428180574555405,BOGOTA,BOGOTÁ,20162,2021,72,83,68,74,66,355,198,199,188,206,86,175.4,FALSE
SB11201620156290,F,17.006839945280436,22.002735978112174,ANTIOQUIA,ANTIOQUIA,20162,2021,64,76,67,74,67,343.0769230769231,169,130,167,208,122,159.2,TRUE
SB11201220461724,F,15.504787961696307,24.49794801641587,CUNDINAMARCA,CUNDINAMARCA,20122,2021,38,48,52.666666666666664,55,52,246.53846153846155,153,180,200,220,171,184.8,TRUE
SB11201020302857,F,16.599179206566347,27.59233926128591,BOGOTÁ,BOGOTÁ,20102,2021,55.89,49.66,50.98666666666666,53.63,69.34,284.30769230769226,131,175,132,186,130,150.8,TRUE
SB11201510010631,F,18.80984952120383,24.807113543091656,BOGOTA,BOGOTÁ,20151,2021,58,80,58,61,64,308.8461538461538,138,152,148,205,174,163.4,FALSE
SB11201620099442,F,16.399452804377564,21.3953488372093,ATLANTICO,ATLANTICO,20162,2021,74,77,72,70,80,371.15384615384613,203,198,200,217,120,187.6,TRUE
SB11201620318656,F,16.957592339261286,21.953488372093023,BOGOTA,CUNDINAMARCA,20162,2021,79,83,71,72,67,365.3846153846154,198,194,208,222,128,190,FALSE
SB11201420269114,F,16.867305061559506,23.863201094391243,BOGOTA,BOGOTÁ,20142,2021,87,100,82,84,71,412.3076923076923,199,205,201,205,125,187,FALSE
SB11201720149344,M,18.238030095759235,22.235294117647058,CAUCA,QUINDIO,20172,2021,58,43,55,62,53,279.6153846153846,118,115,132,171,129,133,FALSE
